"","photo","fraud","election_margin","gopleg"
"Alabama",1,0.333333333333333,8.67290183333333,41.9360866666667
"Alaska",0,0.0833333333333333,17.8224893333333,61.1911491666667
"Arizona",0,0.5,17.2857221666667,60.7765158333333
"Arkansas",0,0.0833333333333333,9.271164,29.7180766666667
"California",0,0.75,12.5669955,37.6786925
"Colorado",1,1.25,8.57985888333333,47.5833333333333
"Connecticut",0,6.91666666666667,9.58589408333333,33.0659533333333
"Delaware",0,0.0833333333333333,12.8278241666667,48.2637058333333
"Florida",1,1.41666666666667,17.9801236666667,66.1120933333333
"Georgia",1,6.66666666666667,15.1985915833333,53.786635
"Hawaii",1,0,24.8857533333333,18.8596483333333
"Idaho",1,0.666666666666667,38.7780458333333,79.9908441666667
"Illinois",0,0.416666666666667,7.05412741666667,44.1052441666667
"Indiana",1,0.0833333333333333,14.6616781666667,56.1141141666667
"Iowa",0,0.833333333333333,5.27301308333333,50.7029475
"Kansas",1,7.83333333333333,24.7353566666667,67.7777766666667
"Kentucky",0,0.333333333333333,6.72701138333333,43.1592841666667
"Louisiana",1,0,NA,41.4314191666667
"Maine",0,0.25,5.897798,45.0947175
"Maryland",0,0,25.38594,28.3038466666667
"Massachusetts",0,0,49.4311375,13.9004241666667
"Michigan",1,0.25,7.02960653333333,53.3566191666667
"Minnesota",0,0.833333333333333,5.9781015,46.2866691666667
"Mississippi",0,0.75,14.284861,39.7779933333333
"Missouri",0,0.166666666666667,7.73080991666667,57.6087175
"Montana",0,0.0833333333333333,8.31677196666667,54.6265041666667
"Nebraska",0,0.0833333333333333,NA,NA
"Nevada",0,0,7.59950558333333,42.7586183333333
"New Hampshire",1,1.66666666666667,9.84942575,59.2389058333333
"New Jersey",0,0.0833333333333333,4.911085,43.5049008333333
"New Mexico",0,0.0833333333333333,10.9090442083333,40.2844816666667
"New York",0,0.0833333333333333,14.7499954166667,38.0053608333333
"North Carolina",0,1.16666666666667,6.018835675,46.4990141666667
"North Dakota",1,0.25,12.1247984166667,67.1093883333333
"Ohio",0,1.08333333333333,7.98204091666667,59.2066816666667
"Oklahoma",1,0,9.25568831666667,54.0049683333333
"Oregon",0,2,5.47031660833333,48.9220858333333
"Pennsylvania",1,0.416666666666667,5.11254313333333,53.3951166666667
"Rhode Island",0,0.416666666666667,40.8307558333333,14.6463345
"South Carolina",1,0,19.3081366666667,58.2033883333333
"South Dakota",1,0,22.5773075,70.2007
"Tennessee",1,0.833333333333333,11.6923155,50.0825391666667
"Texas",1,3.08333333333333,24.4617341666667,56.8482708333333
"Utah",0,0,30.8301358333333,72.996795
"Vermont",0,0,20.8491873333333,40.1499608333333
"Virginia",0,2.58333333333333,17.5292905,58.1769175
"Washington",0,2.91666666666667,8.04600315,43.1405891666667
"West Virginia",0,0,19.8473375,29.2288566666667
"Wisconsin",1,3.66666666666667,7.93653825,54.6452166666667
"Wyoming",0,0.25,45.3629683333333,75.185185
