"country","votevap","gdppcap08"
"Albania",85.2575454711914,7715
"Algeria",71.4335556030273,8033
"Angola",88.2822723388672,5899
"Argentina",79.6856689453125,14333
"Armenia",53.3216361999512,6070
"Australia",81.3646774291992,35677
"Austria",75.4806365966797,38152
"Azerbaijan",79.1802825927734,8765
"Bahamas",67.5708694458008,27470
"Bangladesh",63.0480728149414,1334
"Barbados",65.2113952636719,19025
"Belarus",64.4470748901367,12261
"Belgium",82.4329223632812,34493
"Belize",62.7231712341309,6941
"Benin",63.980827331543,1468
"Bolivia",56.1459274291992,4278
"Bosnia",59.6702919006348,8390
"Botswana",44.6316070556641,13392
"Brazil",74.7061080932617,10296
"Bulgaria",74.1666564941406,12393
"Burkina Faso",30.1539688110352,1161
"Burundi",77.7736663818359,383
"Cambodia",90.499382019043,1905
"Cameroon",48.7060928344727,2215
"Canada",60.0519218444824,36444
"Cape Verde",75.6165771484375,3504
"Central African Republic",50.2806968688965,736
"Chad",68.986328125,1455
"Chile",81.6902160644531,14465
"Colombia",35.7222290039062,8885
"Comoros",66.6510848999023,1169
"Congo Brazzaville",75.2542190551758,3946
"Costa Rica",81.0032196044922,11241
"Cote d'Ivoire",45.653694152832,1651
"Croatia",71.4833526611328,19084
"Cyprus",77.6511535644531,29853
"Czech Republic",82.7829895019531,24712
"Denmark",81.7584838867188,36607
"Djibouti",27.4038600921631,2140
"Dominica",80.6181564331055,8696
"Dominican Rep",51.6629981994629,8217
"Ecuador",65.8454132080078,8009
"Egypt",27.7214317321777,5416
"El Salvador",53.5839614868164,6794
"Equatorial Guinea",88.0972213745117,33873
"Estonia",56.0145111083984,20662
"Ethiopia",77.3529052734375,868
"Fiji",59.8587036132812,4382
"Finland",74.8219146728516,35427
"France",64.0848770141602,34045
"Gabon",67.0239410400391,14527
"Gambia",61.5512771606445,1363
"Georgia",58.4073829650879,4896
"Germany",72.7493209838867,35613
"Ghana",60.1510353088379,1452
"Greece",82.9589157104492,29361
"Guatemala",31.7632751464844,4760
"Guinea-Bissau",44.5161743164062,538
"Guinea",67.6853256225586,1204
"Guyana",71.9292755126953,2542
"Haiti",42.1082611083984,1177
"Honduras",51.3291244506836,3965
"Hungary",58.3825378417969,19330
"Iceland",87.8213882446289,36775
"India",59.1573753356934,2972
"Indonesia",90.2063064575195,3975
"Iran",62.7808303833008,11666
"Ireland",70.1808090209961,44200
"Israel",83.2000198364258,27548
"Italy",90.1771850585938,30756
"Jamaica",46.7237434387207,7705
"Japan",61.4636268615723,34099
"Jordan",30.6329212188721,5283
"Kazakhstan",43.4733848571777,11315
"Kenya",53.7025451660156,1590
"Kiribati",62.0495491027832,2484
"Korea South",79.3678817749023,27939
"Kuwait",20.6545906066895,39914
"Kyrgyzstan",58.2076835632324,2188
"Latvia",63.1038475036621,17100
"Lebanon",60.2446022033691,11570
"Lesotho",60.6541633605957,1588
"Liechtenstein",54.7102584838867,118040
"Lithuania",66.493278503418,18824
"Luxembourg",60.5208511352539,78599
"Macedonia",63.532772064209,10041
"Madagascar",51.1702651977539,1049
"Malawi",68.1622848510742,837
"Malaysia",63.3267669677734,14215
"Maldives",81.52587890625,5504
"Mali",24.1703033447266,1128
"Malta",96.6732788085938,23760
"Mauritania",58.5961036682129,2052
"Mauritius",79.7682266235352,12079
"Mexico",59.3155937194824,14495
"Micronesia, Fed Stat",62.964485168457,2830
"Moldova",59.277515411377,2925
"Mongolia",88.6553115844727,3566
"Morocco",50.989330291748,4388
"Mozambique",66.4373245239258,855
"Namibia",62.9996147155762,6343
"Nepal",83.3218536376953,1112
"Netherlands",75.1999969482422,40849
"New Zealand",80.4155349731445,27029
"Nicaragua",75.8031539916992,2682
"Niger",41.471019744873,684
"Nigeria",27.7862606048584,2082
"Norway",75.6831130981445,58138
"Pakistan",39.7805938720703,2644
"Panama",70.1445770263672,12504
"Papua New Guinea",84.8969879150391,2208
"Paraguay",49.4014549255371,4709
"Peru",62.4927711486816,8507
"Philippines",67.282958984375,3510
"Poland",56.752555847168,17625
"Portugal",75.9737701416016,23074
"Romania",77.6749801635742,14065
"Russia",63.2844161987305,16139
"Sao Tome",57.874568939209,1738
"Senegal",24.19211769104,1772
"Seychelles",93.1371459960938,21530
"Sierra Leone",38.1862525939941,766
"Singapore",54.1839332580566,49284
"Slovakia",84.2534103393555,22081
"Slovenia",76.1039505004883,27605
"Solomon Islands",65.6438903808594,2610
"South Africa",85.5300750732422,10109
"Spain",78.9974899291992,31954
"Sri Lanka",71.3160858154297,4560
"St. Lucia",92.3841323852539,9907
"St. Vincent & Grenadine",75.1542663574219,9155
"Sudan",36.223030090332,2153
"Suriname",69.4955062866211,7506
"Sweden",83.1828918457031,37383
"Switzerland",37.6618385314941,42536
"Syria",58.0012054443359,4440
"Taiwan",72.4754791259766,30881
"Tajikistan",75.6836090087891,1906
"Tanzania",47.973690032959,1263
"Thailand",57.9560623168945,7703
"Togo",70.4926834106445,829
"Trinidad",68.8458404541016,24748
"Tunisia",61.8284530639648,7996
"Turkey",79.4214859008789,13920
"Uganda",56.6610679626465,1165
"Ukraine",66.600700378418,7271
"United Kingdom",72.3726577758789,35445
"United States",46.9741439819336,46716
"Uruguay",91.8739013671875,12734
"Uzbekistan",87.1785659790039,2656
"Vanuatu",74.6675643920898,3978
"Venezuela",49.2352256774902,12804
"Western Samoa",77.4564437866211,4485
"Yemen",36.8161163330078,2400
"Zambia",36.1077575683594,1356
"Zimbabwe",39.405818939209,188
